target,value,source
American Porter,34, CA
American Porter,75, VA
American Porter,25, MD
American Porter,57, IN
American Porter,24, CO
American Porter,9, AZ
American Porter,27, HI
American Porter,50, IN
American Porter,24, OK
American Porter,35, WI
American Porter,26, NC
American Porter,23, IN
American Porter,36, CO
American Porter,28, NC
American Porter,12, MI
Baltic Porter,137, TX
Baltic Porter,120, CA
Baltic Porter,25, TX
Baltic Porter,47, CA
Baltic Porter,85, NY
Baltic Porter,52, NY
American Double / Imperial Stout,76, OR
American Double / Imperial Stout,50, TX
American Double / Imperial Stout,38, SC
American Double / Imperial Stout,23, MI
American Double / Imperial Stout,37, MI
American Double / Imperial Stout,51, CO
American Stout,66, PA
American Stout,35, WA
American Stout,146, IL
American Stout,106, IL
American Stout,26, IA
American Stout,40, OR
American Stout,15, CO
American Stout,27, OR
American Stout,35, OR
American Stout,40, CA
American Stout,40, PA
American Stout,24, CO
English Stout,66, IN
English Stout,121, MO
Irish Dry Stout,34, NJ
Irish Dry Stout,48, MT
Irish Dry Stout,55, AK
Irish Dry Stout,27, IN
Irish Dry Stout,98, CO
Oatmeal Stout,13, CA
Oatmeal Stout,13, CA
Oatmeal Stout,27, AR
Oatmeal Stout,40, MS
Oatmeal Stout,23, IL
Oatmeal Stout,54, AL
Oatmeal Stout,42, MI
American Adjunct Lager,9, WI
American Adjunct Lager,9, WI
American Adjunct Lager,108, PA
American Adjunct Lager,87, WI
American Adjunct Lager,11, WI
American Adjunct Lager,25, WA
American Adjunct Lager,19, TX
American Adjunct Lager,15, NV
American Adjunct Lager,105, WI
American Amber / Red Ale,28, LA
American Amber / Red Ale,134, CA
American Amber / Red Ale,20, WY
American Amber / Red Ale,20, WY
American Amber / Red Ale,30, VT
American Amber / Red Ale,25, IN
American Amber / Red Ale,25, IA
American Amber / Red Ale,32, TX
American Amber / Red Ale,86, CA
American Amber / Red Lager,17, LA
American Amber / Red Lager,24, VA
American Amber / Red Lager,139, VA
American Amber / Red Lager,30, VA
American Amber / Red Lager,18, HI
American Amber / Red Lager,18, HI
American Amber / Red Lager,18, HI
American Amber / Red Lager,18, HI
American Amber / Red Lager,14, WI
American Black Ale,80, MN
American Black Ale,71, WV
American Black Ale,65, CA
American Black Ale,65, CO
American Black Ale,98, IN
American Black Ale,34, CT
American Black Ale,72, MO
American Blonde Ale,1, AZ
American Blonde Ale,30, RI
American Blonde Ale,30, ME
American Blonde Ale,17, GA
American Blonde Ale,19, NC
American Blonde Ale,20, CA
American Blonde Ale,130, CA
American IPA,104, NY
American IPA,40, CA
American IPA,37, MA
American IPA,37, MA
American IPA,42, UT
American IPA,55, MI
American IPA,72, UT
American IPA,65, WA
American IPA,41, WA
American IPA,30, NJ
American IPA,35, NJ
American IPA,60, WA
American IPA,75, MA
American Pale Ale (APA),35, TX
American Pale Ale (APA),35, ID
American Pale Ale (APA),44, CA
American Pale Ale (APA),46, PA
American Pale Ale (APA),28, ME
American Pale Ale (APA),35, CO
American Pale Ale (APA),35, CO
American Pale Ale (APA),30, FL
American Pale Ale (APA),32, ND
American Pale Ale (APA),35, MI
American Pale Ale (APA),35, WA
American Pale Ale (APA),40, MI
American Pale Ale (APA),40, OH
American Pale Ale (APA),40, CO
